徳島県内宿泊施設一覧(判明分のみ),,更新日,2014.11.25,,,,,,
ID,施設名,業種,郵便番号,住所,緯度,経度,電話番号,URL,
372,HOTEL RIVIERA ししくい,ホテル,775-0501,徳島県海部郡海陽町宍喰浦字松原２２６－１,33.568607,134.307156,0884-76-3300,http://www.hotel-riviera.co.jp,
373,辨天屋旅館,旅館,775-0501,徳島県海部郡海陽町宍喰浦字松原４５－７,33.566963,134.305055,0884-76-2010,http://wwwb.pikara.ne.jp/bentenya/,
374,民宿ぬしま,民宿,775-0501,徳島県海部郡海陽町宍喰浦字正梶１７６－４,33.561381,134.304208,0884-76-2885,,
375,民宿えびす,民宿,775-0501,徳島県海部郡海陽町宍喰浦字正梶１８８－１９,33.558753,134.308526,0884-76-2769,http://wwwb.pikara.ne.jp/ebisu/,
376,民宿竹ケ島,民宿,775-0513,徳島県海部郡海陽町宍喰浦字竹ケ島1-4,33.547138,134.317834,0884-76-3657,,
377,しおさい荘,民宿,775-0512,徳島県海部郡海陽町宍喰浦字那佐２５８－１,33.5819,134.323839,0884-76-2406,,
378,ロッジ那佐,コテージ・ペンション・ホテル・ロッジ・貸別荘・民宿,775-0512,徳島県海部郡海陽町宍喰浦字那佐３２８,33.581997,134.313937,0884-76-2081,,
379,ホテル那佐,ホテル,775-0512,徳島県海部郡海陽町宍喰浦字那佐３３７－２１,33.585804,134.33615,0884-76-3480,http://www.shiroitodai.burari.biz/,
380,民宿リバーランズ,民宿,775-0412,徳島県海部郡海陽町小川字東桑原３１－１,33.682825,134.306668,0884-75-2513,http://wwwe.pikara.ne.jp/riverruns/,
381,和三郎,民宿,775-0413,徳島県海部郡海陽町神野字高尾13,33.662457,134.311504,0884-75-2020,http://www2.odn.ne.jp/~cdu12490/wasaburou/,
382,民宿 吉田,民宿,775-0101,徳島県海部郡海陽町浅川字加島５－２,33.633432,134.37489,0884-73-2350,,
383,海山荘,釣宿・民宿,775-0101,徳島県海部郡海陽町浅川字鯖瀬口２４－１１,33.643634,134.385339,0884-73-1326,,
384,民宿 大砂荘,民宿,775-0101,徳島県海部郡海陽町浅川字大砂19-9,33.639228,134.377572,0884-70-1265,,
385,鯖大師へんろ会館,宿坊,775-0101,徳島県海部郡海陽町浅川字中相１５,33.647892,134.384805,0884-73-0743,http://www.sabadaishihonbou.jp/,
386,まぜのおか オートキャンプ場,キャンプ場,775-0101,徳島県海部郡海陽町浅川字西福良43,33.6228929,134.3691618,0884-74-3111,http://www.kaifu.or.jp/,
387,海陽町船津キャンプ場,キャンプ場,775-0510?,徳島県海部郡海陽町船津字僧都谷7,33.56905356,134.2183399,0884-76-2958,http://www.kaiyo-kankou.jp/index.php/staying2/stay-funatsuc,
388,宍喰温泉,,775-0502,徳島県海部郡海陽町大字久保字板取219-6,33.569,134.307,0884-76-3442,,
389,村上旅館,旅館,775-0203,徳島県海部郡海陽町大里字尾ノ鼻１２,33.602791,134.352369,0884-73-0067,,
390,ホテルソラエ,ホテル,771-0220,徳島県板野郡松茂町広島字宮ノ前２６－１,34.133538,134.57337,088-699-7137,http://www.hotel-solae.com/,
391,ビジネスホテルポケット,ビジネスホテル,771-0219,徳島県板野郡松茂町笹木野字八北開拓２０７－１,34.139183,134.590765,088-699-2222,,
392,ワールドイン徳島,ビジネスホテル,771-0219,徳島県板野郡松茂町笹木野字八北開拓１－１６４,34.14224,134.592958,088-699-5885,,
393,ニュースカイルート,ビジネスホテル,771-0219,徳島県板野郡松茂町笹木野字八北開拓１６４－７,34.141315,134.592146,088-699-3988,,
394,松葉旅館,旅館,771-0219,徳島県板野郡松茂町笹木野字八北開拓２５１－２,34.138718,134.590913,088-699-5656,,
395,多津美,ビジネス旅館・民宿,771-0219,徳島県板野郡松茂町笹木野字八北開拓２５４－１,34.138497,134.590276,088-699-4688,http://www7a.biglobe.ne.jp/~tatumi/,
396,ホテル太平洋,ビジネスホテル,771-0212,徳島県板野郡松茂町中喜来字牛飼野東ノ越３８－１,34.149977,134.580439,088-699-2967,http://hotel-taiheiyo.com/,
397,月見ヶ丘海浜公園ビジターセンター,ペンション,771-0215,徳島県板野郡松茂町豊岡字山ノ手４２,34.125848,134.608604,088-699-6697,http://www.tsukimigaoka.com/,
398,ビジネスホテル久次米,ビジネスホテル,771-1201,徳島県板野郡藍住町奥野字西中須４２－１,34.131394,134.486371,088-692-5783,,
399,久次米旅館,旅館,771-1201,徳島県板野郡藍住町奥野字西中須４２－１,34.131546,134.486466,088-692-2556,,
400,おくむら旅館,ビジネス旅館,771-1202,徳島県板野郡藍住町奥野字前川７４,34.119383,134.490225,088-692-2230,,
401,旅人の宿道しるべ,民宿・旅館,779-0104,徳島県板野郡板野町吹田字平山９３－１１,34.152509,134.46512,088-672-6171,http://www.h7.dion.ne.jp/~tabiyado,
402,あせび温泉・やすらぎの郷,保養施設,779-0101,徳島県板野郡板野町大坂字椋木原30-1,34.167115,134.457383,088-672-1126,,
403,ばんどう旅館,旅館,779-0105,徳島県板野郡板野町大寺字平田６１－４,34.142463,134.466037,088-672-1001,,
404,森本屋,民宿,779-0114,徳島県板野郡板野町羅漢字野神６０－１,34.135688,134.431985,088-672-3568,,
405,民宿寿食堂,民宿,771-1302,徳島県板野郡上板町七條字大道ノ上１３－１,34.123856,134.404229134.404229,088-694-2024,http://www.kotobukishokudou.com/index.html,
406,ラ・フォーレつるぎ山,民宿,779-4306,徳島県美馬郡つるぎ町一宇字葛籠６１９８－２,33.873377,134.076616,0883-67-5555,http://www.laforet-t.com,
407,つるぎの宿 岩戸,ホテル,779-4302,徳島県美馬郡つるぎ町一宇字赤松６－９,33.955443,134.067918,0883-67-2826,http://ww81.tiki.ne.jp/~iwado/,
408,民宿川又,民宿,779-4307,徳島県美馬郡つるぎ町一宇字川又９３２,33.904293,134.080981,0883-67-5130,,
409,ビジネスホテルふじ,ビジネスホテル・旅館,779-4101,徳島県美馬郡つるぎ町貞光字町４８－３,34.037615,134.063077,0883-62-2336,,
410,双葉旅館,旅館,779-4101,徳島県美馬郡つるぎ町貞光字町６０－２,34.036136,134.062539,0883-62-2076,,
411,剣山木綿麻温泉,保養施設,779-4108,徳島県美馬郡つるぎ町貞光字長瀬127-2,34.00083,134.08445,0883-62-5500,http://www.town.tokushima-tsurugi.lg.jp/yuumaspa.html,
412,本家旅館,旅館,779-4701,徳島県三好郡東みよし町加茂３３２７－１０,34.036257,133.936432,0883-82-2588,,
413,吉野川ハイウェイオアシス「美濃田の湯」,保養施設,771-2502,徳島県三好郡東みよし町足代1650,34.036672,133.891685,0883-76-5226,http://www.yoshinogawa-oasis.com/,
414,美濃田の淵バンガロー,,771-2502,徳島県三好郡東みよし町足代小山,34.036082,133.893788,0883-79-5858,http://www.yoshinogawa-oasis.com/,
415,ビジネスホテルわらぐろ,ビジネスホテル,779-4703,徳島県三好郡東みよし町中庄９８４－４,34.036846,133.956168,0883-82-4545,,
416,二本栗キャンプ村,コテージ・ロッジ・山小屋,771-2503,徳島県三好郡東みよし町東山字男山８６－２,34.092246,133.877152,0883-79-5870,http://www3.ocn.ne.jp/~nihongur/401.html#top,
417,いやしの里　増川笑楽耕,,771-2503,徳島県三好郡東みよし町東山字増川264-2,34.068164,133.8442945,0883-79-5582,http://www.town.higashimiyoshi.lg.jp/kanko/kankoti/masukawa.html,
